Date,Open,High,Low,Close,Volume
2012-08-30,0.47346,0.47346,0.45501,0.45767,14465518
2012-08-31,0.46736,0.48143,0.45548,0.47566,19967217
2012-09-04,0.47439,0.47549,0.44768,0.46471,35297545
2012-09-05,0.4622,0.47129,0.44908,0.45438,16123487
2012-09-06,0.46596,0.505,0.46596,0.5028,36142159
2012-09-07,0.4958,0.49909,0.483,0.49344,14384634
2012-09-10,0.48567,0.48738,0.46471,0.46768,20274656
2012-09-11,0.47253,0.48191,0.46456,0.47566,16617151
2012-09-12,0.47971,0.48954,0.47143,0.47862,19610366
2012-09-13,0.47597,0.49658,0.46596,0.4919,32068106
2012-09-14,0.5003,0.5269,0.49909,0.5108,24185785
2012-09-17,0.5178,0.5178,0.49017,0.49673,14585049
2012-09-18,0.49296,0.49534,0.48473,0.48985,9035334
2012-09-19,0.49048,0.4908,0.47815,0.48049,12593726
2012-09-20,0.47439,0.47674,0.45941,0.46799,19851500
2012-09-21,0.47566,0.48411,0.46816,0.46848,11370655
2012-09-24,0.45626,0.45878,0.44222,0.44736,21552665
2012-09-25,0.45282,0.45752,0.41314,0.41314,31868696
2012-09-26,0.40471,0.40878,0.38891,0.40595,31093044
2012-09-27,0.41517,0.43642,0.40799,0.43315,24300032
2012-09-28,0.42799,0.43129,0.41986,0.42126,20099901
2012-10-01,0.42847,0.4361,0.41471,0.41766,18628953
2012-10-02,0.42768,0.42815,0.41487,0.42518,12993685
2012-10-03,0.43003,0.43003,0.41534,0.41814,11813734
2012-10-04,0.42204,0.42892,0.41283,0.42784,13983354
2012-10-05,0.43424,0.44658,0.42283,0.42613,22509379
2012-10-08,0.41878,0.41986,0.40722,0.4119,14714955
2012-10-09,0.40861,0.40861,0.38876,0.39252,28781206
2012-10-10,0.38953,0.39236,0.37564,0.37626,35683074
2012-10-11,0.3897,0.39064,0.37813,0.3786,25946439
2012-10-12,0.37721,0.38282,0.37189,0.37221,21554752
2012-10-15,0.37753,0.39064,0.37753,0.38846,25330391
2012-10-16,0.39141,0.41487,0.39141,0.41345,27084709
2012-10-17,0.40284,0.4183,0.40064,0.41063,20403540
2012-10-18,0.40564,0.41063,0.39377,0.40034,18751021
2012-10-19,0.39736,0.39767,0.36532,0.36595,60322434
2012-10-22,0.37111,0.37564,0.36017,0.36532,24574318
2012-10-23,0.35408,0.37141,0.35002,0.36878,43923144
2012-10-24,0.38063,0.38063,0.35142,0.35172,41355143
2012-10-25,0.36955,0.36955,0.35518,0.36595,29655054
2012-10-26,0.36564,0.3786,0.36252,0.37111,30434115
2012-10-31,0.375,0.37937,0.3672,0.37065,19104195
2012-11-01,0.375,0.4094,0.37173,0.40846,63655924
2012-11-02,0.40985,0.41267,0.38548,0.38563,31825815
2012-11-05,0.38516,0.40815,0.38203,0.40486,22561284
2012-11-06,0.40878,0.42549,0.40486,0.42095,39259364
2012-11-07,0.4033,0.40846,0.38063,0.38923,52878466
2012-11-08,0.39533,0.3966,0.375,0.375,31446817
2012-11-09,0.37361,0.39172,0.37298,0.37768,42626606
2012-11-12,0.38657,0.38735,0.37002,0.37798,22130983
2012-11-13,0.37111,0.37907,0.36736,0.36987,27399610
2012-11-14,0.37721,0.38047,0.34922,0.35172,44100917
2012-11-15,0.35345,0.35642,0.33563,0.33735,47172929
2012-11-16,0.34359,0.34359,0.31985,0.33782,45924572
2012-11-19,0.35673,0.35815,0.34626,0.35705,46851931
2012-11-20,0.3525,0.35549,0.34313,0.35471,30923439
2012-11-21,0.35627,0.36002,0.35188,0.35642,14435955
2012-11-23,0.3633,0.38001,0.36252,0.37469,41971731
2012-11-26,0.37409,0.38282,0.37128,0.38095,29723384
2012-11-27,0.38282,0.38815,0.37531,0.37642,28370632
2012-11-28,0.37128,0.39064,0.36064,0.38953,32301837
2012-11-29,0.39517,0.39986,0.38533,0.39283,30570643
2012-11-30,0.39252,0.39767,0.3872,0.39126,19000519
2012-12-03,0.39858,0.4019,0.38438,0.3861,22279191
2012-12-04,0.38657,0.39611,0.38016,0.39267,11991792
2012-12-05,0.38939,0.39705,0.38346,0.39017,12227671
2012-12-06,0.39454,0.40502,0.39064,0.40408,24276534
2012-12-07,0.40815,0.41033,0.39858,0.40674,13189639
2012-12-10,0.40502,0.41782,0.40502,0.41423,11325715
2012-12-11,0.42018,0.44206,0.41986,0.43922,46856737
2012-12-12,0.44783,0.44783,0.43098,0.43409,23095067
2012-12-13,0.43143,0.4444,0.41673,0.42188,29314027
2012-12-14,0.4161,0.42235,0.40658,0.41314,20139630
2012-12-17,0.41503,0.42362,0.40753,0.41798,18309114
2012-12-18,0.42847,0.44096,0.41782,0.43735,31951413
2012-12-19,0.44534,0.45267,0.43922,0.4408,26172019
2012-12-20,0.44254,0.44254,0.42847,0.44002,16701232
2012-12-21,0.41878,0.42784,0.40315,0.42613,24734403
2012-12-24,0.43315,0.44206,0.41719,0.42235,9651352
2012-12-26,0.42377,0.43284,0.41142,0.41283,11874334
2012-12-27,0.41159,0.41222,0.3922,0.40626,25719900
2012-12-28,0.39691,0.41127,0.39517,0.39922,13449677
2012-12-31,0.40299,0.42298,0.39611,0.42018,31151271
2013-01-02,0.45095,0.47392,0.44534,0.4736,63674242
2013-01-03,0.47191,0.47611,0.45971,0.46518,25572606
2013-01-04,0.46643,0.46848,0.45532,0.4636,15638982
2013-01-07,0.46064,0.46502,0.4494,0.45893,15629313
2013-01-08,0.45532,0.46142,0.44222,0.44377,21939320
2013-01-09,0.44658,0.45736,0.44658,0.45689,16071777
2013-01-10,0.47191,0.47799,0.46424,0.47534,33575283
2013-01-11,0.47002,0.48443,0.47002,0.48363,12484300
2013-01-14,0.46954,0.48379,0.46736,0.47955,12553338
2013-01-15,0.47377,0.47408,0.46565,0.47238,12231470
2013-01-16,0.47454,0.4922,0.4708,0.48769,17068549
2013-01-17,0.49909,0.5196,0.49565,0.5186,37418758
2013-01-18,0.507,0.5155,0.5016,0.5103,27378889
2013-01-22,0.5102,0.5102,0.49642,0.5058,15786049
2013-01-23,0.5117,0.5236,0.5075,0.5224,20421933
2013-01-24,0.501,0.5219,0.4969,0.5085,16857623
2013-01-25,0.5214,0.535,0.5136,0.5274,18962517
2013-01-28,0.5329,0.5363,0.5258,0.531,10533142
2013-01-29,0.5258,0.5267,0.5149,0.5211,13739038
2013-01-30,0.5188,0.5321,0.5188,0.5238,14958386
2013-01-31,0.5228,0.5314,0.5149,0.5191,18170107
2013-02-01,0.5319,0.549,0.5283,0.5468,25124287
2013-02-04,0.5365,0.5513,0.5218,0.523,18490579
2013-02-05,0.5341,0.5516,0.5297,0.5477,13930114
2013-02-06,0.5371,0.5532,0.5371,0.5507,8852141
2013-02-07,0.5557,0.5557,0.5282,0.5435,15042918
2013-02-08,0.5469,0.5659,0.5469,0.5646,21467532
2013-02-11,0.5655,0.5709,0.5573,0.5671,8324423
2013-02-12,0.5671,0.5737,0.561,0.5707,13588772
2013-02-13,0.5771,0.5829,0.5646,0.5752,9622403
2013-02-14,0.5667,0.5924,0.5657,0.5916,8937619
2013-02-15,0.5945,0.597,0.574,0.5803,16148291
2013-02-19,0.5824,0.6023,0.5809,0.6011,15478806
2013-02-20,0.6014,0.6047,0.5608,0.5608,27605489
2013-02-21,0.5477,0.5534,0.5192,0.5302,29245711
2013-02-22,0.5452,0.5655,0.541,0.5634,31899612
2013-02-25,0.5767,0.5803,0.5311,0.5311,28848936
2013-02-26,0.5336,0.5483,0.5296,0.5444,18820044
2013-02-27,0.5471,0.5774,0.5441,0.5688,12995607
2013-02-28,0.5644,0.5837,0.5644,0.5834,20148637
2013-03-01,0.5557,0.5704,0.5402,0.5627,22707391
2013-03-04,0.5655,0.5676,0.5471,0.5604,11615092
2013-03-05,0.5754,0.5963,0.5752,0.5922,26194239
2013-03-06,0.6047,0.605,0.5894,0.5948,23468465
2013-03-07,0.6011,0.6117,0.5969,0.6025,16694326
2013-03-08,0.6172,0.6172,0.5883,0.6039,31546049
2013-03-11,0.6008,0.6088,0.5898,0.6067,10628634
2013-03-12,0.5983,0.6164,0.5983,0.6158,11036700
2013-03-13,0.613,0.6248,0.6039,0.6213,13733843
2013-03-14,0.628,0.6387,0.6252,0.6298,10678873
2013-03-15,0.6298,0.6298,0.5935,0.5992,23547367
2013-03-18,0.5745,0.5911,0.567,0.5751,23746249
2013-03-19,0.5843,0.5864,0.5537,0.5684,19436257
2013-03-20,0.5813,0.5938,0.5795,0.5906,22509184
2013-03-21,0.5889,0.5889,0.5608,0.5627,21953104
2013-03-22,0.572,0.5898,0.5702,0.5804,15700676
2013-03-25,0.5925,0.6014,0.5682,0.5774,14675661
2013-03-26,0.5821,0.5942,0.5821,0.5933,10257354
2013-03-27,0.5795,0.5976,0.5723,0.5958,10023937
2013-03-28,0.6054,0.6094,0.5883,0.6066,12409273
2013-04-01,0.5976,0.6032,0.567,0.5724,15881287
2013-04-02,0.5888,0.5888,0.5497,0.556,25314040
2013-04-03,0.5782,0.5782,0.5167,0.5225,26994276
2013-04-04,0.5232,0.5438,0.512,0.5426,18527426
2013-04-05,0.5156,0.5374,0.5055,0.5347,28983617
2013-04-08,0.5289,0.5545,0.5222,0.5545,14934602
2013-04-09,0.5493,0.5813,0.5446,0.5696,21211535
2013-04-10,0.5751,0.6083,0.5748,0.6061,31260562
2013-04-11,0.5997,0.6113,0.5886,0.6002,14478520
2013-04-12,0.5858,0.5967,0.5712,0.5913,12168589
2013-04-15,0.5757,0.5864,0.546,0.5491,24526482
2013-04-16,0.5626,0.5837,0.5573,0.5821,16033774
2013-04-17,0.5595,0.5595,0.5177,0.5247,28275770
2013-04-18,0.5391,0.5515,0.5078,0.5105,20553686
2013-04-19,0.516,0.5263,0.4994,0.5227,24386920
2013-04-22,0.5264,0.5446,0.506,0.5386,23734853
2013-04-23,0.5469,0.576,0.5469,0.5734,31806836
2013-04-24,0.5637,0.5994,0.563,0.5939,19187510
2013-04-25,0.6003,0.6225,0.5985,0.6113,19291080
2013-04-26,0.5944,0.6011,0.5878,0.5945,9898911
2013-04-29,0.5938,0.6196,0.5938,0.6149,10683272
2013-04-30,0.6209,0.6331,0.6063,0.6331,10295221
2013-05-01,0.6363,0.6363,0.6133,0.6154,10539538
2013-05-02,0.6297,0.6436,0.6174,0.6407,13449857
2013-05-03,0.6633,0.6718,0.657,0.6594,22780121
2013-05-06,0.6721,0.6806,0.664,0.6726,18659027
2013-05-07,0.6824,0.6824,0.6608,0.6716,10857396
2013-05-08,0.6718,0.6992,0.6712,0.6982,11314455
2013-05-09,0.6983,0.7187,0.6957,0.7092,16095259
2013-05-10,0.716,0.729,0.7142,0.7288,12810987
2013-05-13,0.7304,0.7304,0.7035,0.7067,15623426
2013-05-14,0.7126,0.7221,0.7044,0.7176,12178034
2013-05-15,0.7176,0.7458,0.711,0.7365,8795025
2013-05-16,0.7427,0.7485,0.72,0.7227,9087179
2013-05-17,0.739,0.7508,0.7292,0.7496,9829965
2013-05-20,0.754,0.7587,0.7411,0.7456,17977937
2013-05-21,0.7535,0.7535,0.7369,0.744,9916119
2013-05-22,0.7503,0.7678,0.6989,0.7099,27374595
2013-05-23,0.6886,0.7128,0.6695,0.709,19918524
2013-05-24,0.6953,0.7089,0.6875,0.7089,6683841
2013-05-28,0.7465,0.7465,0.7228,0.7279,11732820
2013-05-29,0.7076,0.7436,0.7076,0.7367,6349812
2013-05-30,0.7414,0.7791,0.7414,0.7708,12145376
2013-05-31,0.7526,0.7752,0.7426,0.7483,9836166
2013-06-03,0.7452,0.7675,0.7234,0.75,15346633
2013-06-04,0.7564,0.7837,0.749,0.7602,26497099
2013-06-05,0.7554,0.7554,0.7222,0.7249,14322158
2013-06-06,0.7238,0.7394,0.6999,0.7192,12383087
2013-06-07,0.7327,0.7548,0.7178,0.7535,12505290
2013-06-10,0.7656,0.7698,0.7476,0.7654,11707897
2013-06-11,0.7492,0.7496,0.7138,0.7165,17734430
2013-06-12,0.7341,0.7386,0.6876,0.6902,18499047
